Date,Close,Open,High,Low,Vol.,change
2020-08-12,"4,359.58","4,367.70","4,387.80","4,357.92",94.26M,-0.20%
2020-08-13,"4,386.67","4,360.09","4,386.71","4,355.25",72.98M,0.62%
2020-08-16,"4,413.27","4,402.91","4,415.22","4,387.04",145.23M,0.61%
2020-08-17,"4,431.33","4,419.63","4,439.23","4,415.34",154.57M,0.41%
2020-08-18,"4,445.48","4,430.87","4,445.81","4,417.10",129.00M,0.32%
2020-08-19,"4,500.66","4,445.48","4,514.27","4,439.27",160.32M,1.24%
2020-08-20,"4,542.96","4,495.27","4,542.96","4,486.82",156.62M,0.94%
2020-08-24,"4,569.91","4,543.47","4,575.84","4,535.03",161.61M,0.59%
2020-08-25,"4,558.69","4,569.91","4,581.17","4,539.90",105.69M,-0.25%
2020-08-26,"4,529.79","4,558.69","4,565.12","4,506.93",82.92M,-0.63%
2020-08-27,"4,535.15","4,529.79","4,539.29","4,507.47",89.63M,0.12%
2020-08-30,"4,537.53","4,535.57","4,548.76","4,519.04",72.27M,0.05%
2020-08-31,"4,519.32","4,538.00","4,556.71","4,519.03",147.83M,-0.40%
2020-09-01,"4,525.41","4,519.32","4,555.81","4,515.43",101.78M,0.13%
2020-09-02,"4,547.13","4,524.90","4,552.37","4,524.75",102.01M,0.48%
2020-09-03,"4,552.20","4,548.15","4,566.27","4,531.83",108.75M,0.11%
2020-09-06,"4,522.95","4,552.20","4,552.20","4,518.26",76.72M,-0.64%
2020-09-07,"4,507.95","4,522.95","4,537.52","4,507.95",95.40M,-0.33%
2020-09-08,"4,519.56","4,507.95","4,525.51","4,507.00",101.98M,0.26%
2020-09-09,"4,508.82","4,517.52","4,528.89","4,504.62",86.69M,-0.24%
2020-09-10,"4,519.13","4,508.82","4,527.09","4,508.82",91.92M,0.23%
2020-09-13,"4,510.07","4,520.25","4,523.61","4,504.67",68.96M,-0.20%
2020-09-14,"4,515.11","4,511.19","4,527.92","4,511.19",70.20M,0.11%
2020-09-15,"4,509.00","4,515.58","4,520.03","4,498.29",95.22M,-0.14%
2020-09-16,"4,505.33","4,505.94","4,516.33","4,496.25",96.15M,-0.08%
2020-09-17,"4,510.60","4,504.31","4,512.79","4,485.69",179.21M,0.12%
2020-09-20,"4,546.16","4,512.29","4,546.16","4,502.18",75.73M,0.79%
2020-09-21,"4,492.19","4,546.16","4,547.54","4,492.02",80.65M,-1.19%
2020-09-22,"4,498.23","4,491.35","4,519.75","4,483.43",100.13M,0.13%
2020-09-23,"4,490.23","4,498.74","4,521.16","4,489.47",96.94M,-0.18%
2020-09-24,"4,466.82","4,489.21","4,489.21","4,462.35",90.06M,-0.52%
2020-09-27,"4,485.84","4,462.17","4,491.12","4,462.17",44.59M,0.43%
2020-09-28,"4,492.18","4,485.42","4,508.13","4,485.15",97.66M,0.14%
2020-09-29,"4,494.75","4,492.18","4,509.04","4,492.18",72.95M,0.06%
2020-09-30,"4,518.06","4,495.22","4,518.83","4,489.57",88.59M,0.52%
2020-10-01,"4,492.02","4,518.30","4,518.30","4,488.80",56.77M,-0.58%
2020-10-04,"4,492.90","4,491.18","4,496.11","4,482.84",66.45M,0.02%
2020-10-05,"4,487.74","4,493.13","4,505.80","4,486.20",99.28M,-0.11%
2020-10-06,"4,482.78","4,489.97","4,502.18","4,479.59",83.48M,-0.11%
2020-10-07,"4,494.53","4,486.86","4,494.68","4,483.13",85.72M,0.26%
2020-10-08,"4,512.50","4,492.44","4,512.50","4,489.56",76.73M,0.40%
2020-10-11,"4,492.63","4,512.74","4,514.46","4,489.30",58.94M,-0.44%
2020-10-12,"4,532.82","4,491.60","4,533.63","4,491.60",80.11M,0.89%
2020-10-13,"4,545.18","4,532.82","4,550.58","4,532.33",89.01M,0.27%
2020-10-14,"4,573.00","4,539.04","4,576.53","4,538.05",125.00M,0.61%
