Date,Close,Open,High,Low,Vol.,change
2020-07-28,"2,256.99","2,238.19","2,266.00","2,237.21",866.72M,1.76%
2020-07-29,"2,263.16","2,258.35","2,276.79","2,252.24",899.49M,0.27%
2020-07-30,"2,267.01","2,275.33","2,281.33","2,263.81",713.04M,0.17%
2020-07-31,"2,249.37","2,278.53","2,281.41","2,248.49",739.69M,-0.78%
2020-08-03,"2,251.04","2,251.65","2,254.38","2,237.04",648.46M,0.07%
2020-08-04,"2,279.97","2,272.33","2,284.66","2,269.69",722.91M,1.29%
2020-08-05,"2,311.86","2,289.23","2,312.14","2,283.95",841.30M,1.40%
2020-08-06,"2,342.61","2,322.64","2,352.48","2,322.64",797.15M,1.33%
2020-08-07,"2,351.67","2,349.25","2,362.24","2,333.62",812.59M,0.39%
2020-08-10,"2,386.38","2,353.92","2,390.51","2,349.33",784.62M,1.48%
2020-08-11,"2,418.67","2,396.11","2,429.36","2,396.11",843.44M,1.35%
2020-08-12,"2,432.35","2,414.78","2,432.35","2,393.27",763.73M,0.57%
2020-08-13,"2,437.53","2,455.28","2,458.17","2,412.49",907.22M,0.21%
2020-08-14,"2,407.49","2,427.85","2,435.00","2,383.69",968.12M,-1.23%
2020-08-18,"2,348.24","2,405.84","2,419.65","2,336.78",909.75M,-2.46%
2020-08-19,"2,360.54","2,370.87","2,380.10","2,353.17",637.96M,0.52%
2020-08-20,"2,274.22","2,339.91","2,357.08","2,270.85",903.74M,-3.66%
2020-08-21,"2,304.59","2,306.16","2,329.34","2,280.97",865.73M,1.34%
2020-08-24,"2,329.83","2,309.38","2,332.33","2,283.48",649.28M,1.10%
2020-08-25,"2,366.73","2,352.15","2,369.78","2,340.97",771.58M,1.58%
2020-08-26,"2,369.32","2,367.74","2,374.68","2,336.98",956.48M,0.11%
2020-08-27,"2,344.45","2,371.95","2,373.36","2,344.38",913.92M,-1.05%
2020-08-28,"2,353.80","2,362.22","2,379.26","2,345.28",1.30B,0.40%
2020-08-31,"2,326.17","2,377.09","2,381.50","2,326.06",1.65B,-1.17%
2020-09-01,"2,349.55","2,340.19","2,355.90","2,331.23",1.09B,1.01%
2020-09-02,"2,364.37","2,363.43","2,369.57","2,341.29",1.43B,0.63%
2020-09-03,"2,395.90","2,383.26","2,401.78","2,382.23",981.55M,1.33%
2020-09-04,"2,368.25","2,332.68","2,371.02","2,332.68",1.35B,-1.15%
2020-09-07,"2,384.22","2,369.85","2,387.49","2,362.42",1.20B,0.67%
2020-09-08,"2,401.91","2,402.66","2,407.56","2,391.43",979.36M,0.74%
2020-09-09,"2,375.81","2,372.53","2,388.85","2,369.12",946.25M,-1.09%
2020-09-10,"2,396.48","2,404.83","2,406.68","2,388.56",1.06B,0.87%
2020-09-11,"2,396.69","2,389.76","2,397.56","2,374.00",882.88M,0.01%
2020-09-14,"2,427.91","2,418.33","2,429.07","2,410.79",963.08M,1.30%
2020-09-15,"2,443.58","2,434.59","2,444.57","2,423.79",849.97M,0.65%
2020-09-16,"2,435.92","2,442.72","2,450.53","2,429.94",772.94M,-0.31%
2020-09-17,"2,406.17","2,430.77","2,437.02","2,398.69",853.74M,-1.22%
2020-09-18,"2,412.40","2,413.53","2,417.81","2,396.33",756.52M,0.26%
2020-09-21,"2,389.39","2,412.44","2,427.17","2,379.38",1.04B,-0.95%
2020-09-22,"2,332.59","2,388.14","2,388.49","2,323.58",1.05B,-2.38%
2020-09-23,"2,333.24","2,352.56","2,354.46","2,287.44",735.04M,0.03%
2020-09-24,"2,272.70","2,295.62","2,309.74","2,268.88",714.88M,-2.59%
2020-09-25,"2,278.79","2,295.19","2,296.36","2,267.63",697.96M,0.27%
2020-09-28,"2,308.08","2,301.16","2,314.81","2,291.32",605.98M,1.29%
2020-09-29,"2,327.89","2,331.51","2,339.83","2,320.04",646.22M,0.86%
2020-10-05,"2,358.00","2,330.55","2,364.73","2,327.83",763.62M,1.29%
2020-10-06,"2,365.90","2,369.17","2,378.28","2,355.39",861.75M,0.34%
2020-10-07,"2,386.94","2,350.82","2,387.45","2,347.82",737.99M,0.89%
2020-10-08,"2,391.96","2,408.49","2,409.01","2,383.82",961.73M,0.21%
2020-10-12,"2,403.73","2,404.18","2,409.42","2,393.74",843.57M,0.49%
2020-10-13,"2,403.15","2,416.85","2,418.89","2,385.87",724.92M,-0.02%
2020-10-14,"2,380.48","2,403.74","2,405.56","2,375.54",901.18M,-0.94%
2020-10-15,"2,361.21","2,375.91","2,376.73","2,348.74",1.17B,-0.81%
2020-10-16,"2,341.53","2,363.88","2,370.73","2,325.03",920.20M,-0.83%
2020-10-19,"2,346.74","2,352.92","2,364.25","2,344.77",931.64M,0.22%
2020-10-20,"2,358.41","2,333.56","2,358.41","2,322.06",874.29M,0.50%
2020-10-21,"2,370.86","2,363.03","2,371.74","2,356.32",812.84M,0.53%
2020-10-22,"2,355.05","2,355.61","2,360.22","2,339.73",815.61M,-0.67%
2020-10-23,"2,360.81","2,364.84","2,368.57","2,344.49",890.38M,0.24%
2020-10-26,"2,343.91","2,366.50","2,374.50","2,342.58",822.27M,-0.72%
2020-10-27,"2,330.84","2,328.66","2,349.33","2,321.23",666.94M,-0.56%
2020-10-28,"2,345.26","2,324.18","2,345.46","2,316.47",705.77M,0.62%
2020-10-29,"2,326.67","2,312.34","2,330.17","2,299.91",509.77M,-0.79%
2020-10-30,"2,267.15","2,319.56","2,320.20","2,266.93",795.59M,-2.56%
2020-11-02,"2,300.16","2,276.61","2,302.64","2,267.95",678.50M,1.46%
2020-11-03,"2,343.31","2,315.81","2,344.77","2,315.30",887.44M,1.88%
2020-11-04,"2,357.32","2,361.32","2,371.14","2,339.95",986.79M,0.60%
2020-11-05,"2,413.79","2,373.41","2,413.79","2,370.85",702.04M,2.40%
2020-11-06,"2,416.50","2,421.79","2,431.11","2,404.97",825.57M,0.11%
2020-11-09,"2,447.20","2,438.63","2,459.15","2,434.52",1.35B,1.27%
2020-11-10,"2,452.83","2,453.95","2,457.94","2,435.59",1.46B,0.23%
2020-11-11,"2,485.87","2,459.50","2,488.04","2,459.50",1.27B,1.35%
2020-11-12,"2,475.62","2,482.68","2,488.79","2,467.04",1.28B,-0.41%
2020-11-13,"2,493.87","2,470.12","2,495.77","2,460.96",1.07B,0.74%
2020-11-16,"2,543.03","2,507.46","2,546.37","2,507.46",1.24B,1.97%
2020-11-17,"2,539.15","2,544.12","2,556.09","2,533.34",1.27B,-0.15%
2020-11-18,"2,545.64","2,548.85","2,553.95","2,536.78",923.50M,0.26%
2020-11-19,"2,547.42","2,536.89","2,548.95","2,529.53",976.48M,0.07%
2020-11-20,"2,553.50","2,544.06","2,558.21","2,539.79",1.13B,0.24%
2020-11-23,"2,602.59","2,560.04","2,605.58","2,553.70",1.65B,1.92%
2020-11-24,"2,617.76","2,616.28","2,628.52","2,605.03",1.36B,0.58%
2020-11-25,"2,601.54","2,637.34","2,642.26","2,583.41",1.41B,-0.62%
2020-11-26,"2,625.91","2,605.73","2,625.97","2,592.43",1.39B,0.94%
2020-11-27,"2,633.45","2,624.80","2,635.00","2,618.47",1.20B,0.29%
2020-11-30,"2,591.34","2,648.05","2,648.66","2,591.34",1.31B,-1.60%
2020-12-01,"2,634.25","2,613.42","2,638.87","2,611.67",1.15B,1.66%
2020-12-02,"2,675.90","2,645.88","2,677.26","2,644.53",1.08B,1.58%
2020-12-03,"2,696.22","2,686.38","2,696.22","2,672.85",817.07M,0.76%
2020-12-04,"2,731.45","2,705.34","2,742.77","2,705.34",1.78B,1.31%
2020-12-07,"2,745.44","2,738.11","2,754.01","2,711.42",1.50B,0.51%
2020-12-08,"2,700.93","2,745.13","2,747.45","2,700.92",1.42B,-1.62%
